#!2theta	Int
#
6.99321	29.42296
6.99843	27.98670
7.00365	27.37632
7.00887	26.93506
7.01409	26.48548
7.01931	26.05820
7.02453	26.09060
7.02976	26.16770
7.03498	25.69846
7.04020	25.32648
7.04542	25.02500
7.05064	24.08190
7.05586	24.47348
7.06108	24.74272
7.06630	24.78376
7.07152	24.18384
7.07674	24.06358
7.08196	24.52280
7.08718	24.14818
7.09240	24.06820
7.09762	24.44154
7.10284	24.66906
7.10805	25.32754
7.11327	25.26848
7.11849	24.28608
7.12371	23.32318
7.12893	23.42796
7.13415	24.24196
7.13937	25.04494
7.14459	24.86800
7.14980	24.52540
7.15502	24.88446
7.16024	24.84760
7.16546	25.04736
7.17068	24.85006
7.17589	24.75442
7.18111	25.20926
7.18633	25.20988
7.19155	24.87328
7.19676	24.67812
7.20198	24.94234
7.20720	25.35704
7.21241	25.27654
7.21763	24.67002
7.22285	24.42750
7.22806	24.15274
7.23328	23.72188
7.23850	23.65200
7.24371	24.22036
7.24893	24.84790
7.25414	25.32206
7.25936	25.51274
7.26457	24.90292
7.26979	24.71798
7.27500	24.76028
7.28022	23.45312
7.28544	22.41716
7.29065	22.82764
7.29587	23.02264
7.30108	23.36128
7.30629	23.79770
7.31151	23.69256
7.31672	23.86054
7.32194	24.14274
7.32715	23.86738
